Satellite params (to fit): 
a = 20000.0 km
e = 0.5
inclination = 0 deg
node = 100 deg
pericenter = 29 deg
epoch = 0 deg

Telescope ITRF coordinates:
X = 5993.487897384523 km
Y = 0.0 km
Z = 2181.4511940826933 km

Source J2000.0 coordinates:
RA = 140 deg
DEC = 60 deg

Spatial scale (from center to edge) of the image below:
scale = 2.379735787998805 in Earth diameters

Number of dots calculated: N = 3000 for 3 days of observation
Blurred image:
 -0.01 0.01 -0.01 0.01 -0.01 0.00 0.04 -0.15 0.19 -0.17 0.02 0.24 0.02 -0.23 0.01 -0.03 -0.07 0.08 0.12 0.01 -0.00 -0.02 0.02 -0.02 0.11 0.10 0.19 0.18 -0.02 -0.02 -0.34 0.01 0.19 0.01 -0.34 -0.02 -0.02 0.18 0.19 0.10 0.11 -0.02 0.02 -0.02 -0.00 0.01 0.12 0.08 -0.07 -0.03 0.01 -0.23 0.02 0.24 0.02 -0.17 0.19 -0.15 0.04 0.00 -0.01 0.01 -0.01 0.01
 0.01 -0.01 0.01 -0.01 0.01 -0.00 -0.05 0.17 -0.21 0.19 -0.03 -0.26 -0.02 0.24 0.01 0.04 0.05 -0.07 -0.13 -0.00 0.00 0.01 -0.03 0.02 -0.11 -0.09 -0.18 -0.15 0.03 0.01 0.34 -0.05 -0.19 0.03 0.35 0.03 0.00 -0.20 -0.20 -0.12 -0.12 0.02 -0.01 0.03 0.00 -0.01 -0.12 -0.08 0.09 0.02 -0.03 0.22 -0.02 -0.22 -0.01 0.15 -0.17 0.14 -0.04 -0.00 0.01 -0.01 0.01 -0.01
 -0.01 0.01 -0.01 0.01 -0.01 0.00 0.05 -0.19 0.24 -0.22 0.04 0.29 0.03 -0.26 -0.04 -0.05 -0.03 0.06 0.13 0.00 -0.00 0.00 0.04 -0.02 0.10 0.08 0.18 0.13 -0.03 -0.00 -0.34 0.09 0.20 -0.07 -0.38 -0.05 0.01 0.24 0.22 0.14 0.14 -0.02 0.01 -0.04 -0.00 0.01 0.11 0.09 -0.12 -0.02 0.05 -0.22 0.02 0.20 0.01 -0.13 0.15 -0.12 0.03 0.00 -0.01 0.01 -0.01 0.01
 0.01 -0.01 0.01 -0.02 0.01 -0.00 -0.06 0.21 -0.27 0.25 -0.05 -0.33 -0.03 0.28 0.07 0.06 0.01 -0.06 -0.14 0.00 0.01 -0.02 -0.05 0.02 -0.10 -0.07 -0.18 -0.11 0.04 -0.01 0.35 -0.14 -0.21 0.12 0.41 0.06 -0.03 -0.29 -0.25 -0.17 -0.16 0.01 -0.00 0.05 0.01 -0.01 -0.11 -0.11 0.15 0.02 -0.07 0.21 -0.02 -0.19 0.00 0.12 -0.14 0.11 -0.03 -0.00 0.01 -0.01 0.01 -0.01
 -0.01 0.01 -0.02 0.02 -0.01 0.00 0.06 -0.24 0.31 -0.29 0.06 0.39 0.04 -0.32 -0.10 -0.08 0.01 0.05 0.14 -0.01 -0.01 0.03 0.06 -0.02 0.09 0.07 0.18 0.10 -0.05 0.02 -0.37 0.19 0.23 -0.18 -0.46 -0.08 0.06 0.35 0.30 0.21 0.20 0.01 0.00 -0.06 -0.01 -0.00 0.10 0.13 -0.18 -0.01 0.09 -0.21 0.02 0.18 -0.01 -0.10 0.12 -0.10 0.02 0.00 -0.01 0.01 -0.01 0.01
 0.01 -0.01 0.02 -0.02 0.01 -0.00 -0.07 0.27 -0.35 0.34 -0.07 -0.46 -0.05 0.36 0.15 0.10 -0.03 -0.05 -0.15 0.01 0.01 -0.04 -0.08 0.02 -0.09 -0.06 -0.18 -0.08 0.06 -0.03 0.41 -0.25 -0.26 0.26 0.53 0.10 -0.11 -0.45 -0.38 -0.29 -0.26 -0.05 -0.02 0.06 0.02 0.01 -0.10 -0.15 0.21 0.01 -0.12 0.21 -0.02 -0.17 0.02 0.09 -0.11 0.09 -0.02 -0.01 0.01 -0.01 0.01 -0.02
 -0.01 0.01 -0.02 0.03 -0.02 0.01 0.08 -0.31 0.41 -0.40 0.08 0.56 0.06 -0.44 -0.23 -0.14 0.04 0.04 0.16 -0.02 -0.02 0.06 0.10 -0.02 0.09 0.05 0.19 0.07 -0.07 0.05 -0.46 0.32 0.31 -0.37 -0.66 -0.13 0.20 0.63 0.54 0.43 0.39 0.13 0.06 -0.06 -0.04 -0.05 0.09 0.19 -0.26 -0.00 0.14 -0.22 0.02 0.16 -0.02 -0.08 0.10 -0.08 0.02 0.01 -0.01 0.01 -0.01 0.02
 0.01 -0.01 0.02 -0.03 0.02 -0.01 -0.08 0.36 -0.49 0.49 -0.10 -0.73 -0.08 0.56 0.36 0.22 -0.04 -0.04 -0.16 0.03 0.02 -0.08 -0.12 0.03 -0.08 -0.03 -0.19 -0.05 0.08 -0.07 0.54 -0.43 -0.39 0.55 0.91 0.18 -0.42 -1.03 -0.94 -0.81 -0.73 -0.37 -0.21 0.03 0.09 0.12 -0.08 -0.24 0.31 -0.00 -0.16 0.23 -0.03 -0.15 0.03 0.07 -0.09 0.07 -0.01 -0.01 0.01 -0.01 0.01 -0.02
 -0.01 0.01 -0.03 0.04 -0.03 0.02 0.09 -0.42 0.59 -0.62 0.12 1.03 0.12 -0.84 -0.67 -0.44 -0.01 0.02 0.13 -0.04 -0.03 0.10 0.16 -0.03 0.06 -0.00 0.18 0.02 -0.09 0.09 -0.68 0.60 0.57 -0.95 -1.53 -0.28 1.39 3.07 3.62 3.63 3.47 2.27 1.27 0.25 -0.25 -0.33 0.06 0.35 -0.39 0.01 0.19 -0.24 0.03 0.15 -0.04 -0.05 0.07 -0.06 0.01 0.01 -0.01 0.01 -0.01 0.02
 0.01 -0.01 0.03 -0.04 0.03 -0.03 -0.10 0.52 -0.78 0.87 -0.17 -1.73 -0.24 2.05 2.77 3.24 2.99 3.21 2.25 -0.03 0.12 -0.18 -0.16 0.01 0.01 0.04 -0.13 0.00 0.14 -0.14 1.00 -1.01 -1.00 2.38 6.23 7.54 7.69 6.50 6.22 6.38 6.26 6.88 6.89 5.88 3.99 1.85 -0.00 -0.61 0.51 -0.01 -0.23 0.26 -0.04 -0.14 0.04 0.05 -0.07 0.05 -0.01 -0.01 0.01 -0.01 0.01 -0.02
