Satellite params (to fit): 
a = 50000.0 km
e = 0.2
inclination = 5 deg
node = 77 deg
pericenter = 29 deg
epoch = 0 deg

Telescope ITRF coordinates:
X = 4099.787179368231 km
Y = 0.0 km
Z = 4885.936099883772 km

Source J2000.0 coordinates:
RA = 0 deg
DEC = 50 deg

Spatial scale (from center to edge) of the image below:
scale = 4.234788161531866 in Earth diameters

Number of dots calculated: N = 3000 for 3 days of observation
Blurred image:
 -0.06 0.06 -0.06 0.06 -0.06 0.07 -0.07 0.08 -0.09 0.08 -0.11 0.14 -0.18 0.19 -0.06 -0.18 0.49 -0.54 0.28 -0.41 0.62 0.70 -2.18 -1.50 2.14 5.41 5.71 5.49 6.68 6.38 4.30 1.10 -0.11 1.10 4.30 6.38 6.68 5.49 5.71 5.41 2.14 -1.50 -2.18 0.70 0.62 -0.41 0.28 -0.54 0.49 -0.18 -0.06 0.19 -0.18 0.14 -0.11 0.08 -0.09 0.08 -0.07 0.07 -0.06 0.06 -0.06 0.06
 0.06 -0.06 0.06 -0.06 0.06 -0.06 0.07 -0.08 0.09 -0.08 0.11 -0.14 0.18 -0.18 0.04 0.20 -0.49 0.49 -0.21 0.32 -0.36 -0.92 1.54 1.35 -0.59 -2.32 -1.55 -0.53 -2.50 -2.90 0.14 4.90 7.37 6.62 4.38 2.84 2.58 3.74 3.78 4.38 6.92 8.66 5.59 -0.61 -1.17 0.63 -0.41 0.62 -0.51 0.17 0.07 -0.19 0.18 -0.14 0.11 -0.08 0.08 -0.07 0.07 -0.06 0.06 -0.06 0.06 -0.06
 -0.05 0.05 -0.05 0.05 -0.06 0.06 -0.06 0.07 -0.08 0.07 -0.10 0.13 -0.17 0.17 -0.02 -0.24 0.53 -0.48 0.18 -0.31 0.18 1.30 -1.36 -1.77 -0.41 1.66 1.50 -0.06 3.74 7.96 7.39 2.85 -0.76 -1.43 -1.03 -1.14 -1.24 -1.93 -1.61 -0.31 -0.69 0.43 5.13 8.85 3.47 -1.31 0.67 -0.76 0.55 -0.17 -0.07 0.20 -0.18 0.14 -0.11 0.08 -0.08 0.07 -0.07 0.06 -0.06 0.05 -0.05 0.05
 0.05 -0.05 0.05 -0.05 0.05 -0.06 0.06 -0.07 0.08 -0.07 0.10 -0.13 0.17 -0.16 0.00 0.27 -0.56 0.48 -0.16 0.34 0.03 -2.13 1.57 4.43 6.42 5.80 6.64 12.21 11.57 6.99 2.93 2.21 1.73 0.26 0.08 1.14 1.19 1.42 0.86 -1.13 -0.52 -0.08 -1.24 0.42 7.95 6.17 -1.39 1.06 -0.68 0.21 0.05 -0.19 0.17 -0.13 0.10 -0.07 0.07 -0.06 0.05 -0.05 0.05 -0.05 0.05 -0.05
 -0.03 0.03 -0.04 0.04 -0.04 0.05 -0.06 0.06 -0.08 0.07 -0.10 0.13 -0.17 0.16 0.02 -0.33 0.64 -0.53 0.21 -0.49 -0.43 5.99 6.53 5.18 1.72 1.26 4.58 1.14 -1.10 2.57 8.06 11.49 12.98 12.60 9.79 5.32 4.86 4.37 3.98 5.43 3.01 0.44 0.09 -0.83 -2.62 6.35 8.03 -1.95 1.02 -0.36 0.04 0.12 -0.11 0.07 -0.05 0.03 -0.03 0.03 -0.02 0.02 -0.02 0.02 -0.03 0.03
 -0.00 -0.00 0.01 -0.01 0.02 -0.02 0.03 -0.04 0.05 -0.04 0.08 -0.11 0.15 -0.13 -0.08 0.43 -0.79 0.68 -0.47 1.08 7.70 3.98 0.89 -2.39 0.48 7.90 6.94 9.12 11.90 10.55 6.83 4.59 4.29 6.57 10.23 11.17 6.87 4.63 4.48 1.88 5.01 7.20 5.92 3.40 2.28 -4.27 4.39 8.62 -2.08 0.79 -0.27 0.03 -0.02 0.03 -0.04 0.05 -0.04 0.04 -0.03 0.03 -0.02 0.02 -0.01 0.01
 0.04 -0.03 0.02 -0.02 0.01 -0.00 -0.01 0.02 -0.03 0.02 -0.05 0.08 -0.12 0.09 0.16 -0.59 1.06 -1.10 1.84 8.67 1.47 -0.55 -1.79 4.58 13.48 8.88 6.89 3.81 -0.70 -2.19 -1.26 -0.70 -0.96 -1.96 -1.84 1.88 7.12 5.38 2.97 5.14 -0.44 -2.17 1.83 5.66 5.56 7.59 -1.95 3.48 7.15 -1.71 0.65 -0.25 0.18 -0.16 0.14 -0.14 0.12 -0.10 0.09 -0.08 0.07 -0.06 0.05 -0.05
 -0.02 0.01 -0.01 -0.00 0.01 -0.01 0.02 -0.03 0.05 -0.03 0.06 -0.09 0.13 -0.08 -0.22 0.78 -1.50 2.49 9.20 -0.87 -1.45 -0.37 8.62 15.53 7.23 4.81 2.89 2.58 3.86 4.48 2.96 1.80 1.17 1.24 0.39 -1.48 -1.44 4.93 4.79 1.24 7.35 5.70 -1.37 -2.43 1.08 2.19 9.25 2.79 5.80 3.07 -0.75 0.19 -0.12 0.10 -0.09 0.10 -0.08 0.07 -0.06 0.05 -0.04 0.03 -0.03 0.02
 -0.12 0.11 -0.11 0.10 -0.10 0.10 -0.10 0.11 -0.12 0.09 -0.13 0.17 -0.21 0.16 0.20 -0.92 2.13 8.25 -2.49 -0.61 5.24 13.50 18.92 7.14 5.22 3.76 3.83 4.19 2.72 2.38 4.29 4.55 5.19 3.97 3.66 2.73 1.25 -2.68 3.09 3.89 -2.70 2.48 7.35 1.89 -0.98 -0.38 -1.28 5.78 7.68 8.48 -0.87 0.87 -0.62 0.46 -0.36 0.28 -0.25 0.22 -0.19 0.17 -0.16 0.15 -0.14 0.13
 0.37 -0.36 0.35 -0.34 0.34 -0.35 0.36 -0.37 0.40 -0.40 0.47 -0.57 0.70 -0.76 0.53 -0.06 6.71 0.00 4.07 10.38 13.62 14.79 -1.21 -0.40 -1.95 -0.94 -1.81 -1.60 -1.15 -0.30 -1.89 -1.10 -1.04 1.53 2.40 4.22 4.37 5.60 -0.31 3.71 5.39 -0.76 -0.18 6.02 1.38 0.11 0.48 -1.29 0.56 12.17 8.11 -3.10 1.88 -1.33 1.03 -0.83 0.71 -0.62 0.56 -0.50 0.46 -0.43 0.41 -0.39
 -0.36 0.36 -0.36 0.36 -0.37 0.38 -0.40 0.44 -0.49 0.51 -0.64 0.81 -1.07 1.35 -1.55 4.46 7.44 5.27 11.53 8.03 8.52 -2.15 0.29 0.36 1.17 0.73 1.11 1.14 0.63 0.08 1.28 0.72 0.62 -1.17 -1.21 -1.31 0.56 1.14 6.28 1.96 3.48 3.10 -0.33 0.68 5.95 0.97 -0.90 1.20 -0.55 -1.26 13.90 4.78 -2.08 1.33 -0.97 0.76 -0.65 0.57 -0.51 0.46 -0.43 0.41 -0.39 0.37
